Seasonally Adjusted,,,,,,,,,,,,
Industry:,Total private,,,,,,,,,,,
Data Type:,"ALL EMPLOYEES, THOUSANDS",,,,,,,,,,,
Years:,1961 to 2012,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1961,45119,44970,45048,44998,45122,45289,45399,45534,45592,45717,45930,46036
1962,46040,46310,46374,46680,46670,46644,46720,46775,46889,46927,46911,46902
1963,46911,46999,47075,47316,47328,47357,47460,47542,47661,47804,47771,47864
1964,47925,48172,48286,48278,48419,48550,48735,48887,49117,48948,49339,49524
1965,49645,49826,49993,50208,50397,50562,50764,50957,51152,51341,51560,51823
1966,51988,52185,52500,52678,52891,53209,53327,53501,53580,53727,53816,53943
1967,54092,54076,54133,54031,54146,54216,54344,54553,54541,54583,55008,55165
1968,55010,55396,55453,55678,55747,55918,56108,56288,56417,56620,56877,57103
1969,57230,57475,57676,57827,58044,58277,58389,58635,58535,58691,58638,58764
1970,58680,58787,58848,58643,58456,58362,58356,58226,58203,57728,57579,57947
1971,57987,57930,57952,58091,58277,58246,58304,58332,58546,58527,58699,58919
1972,59175,59350,59615,59804,60053,60353,60227,60611,60689,61068,61330,61584
1973,61927,62303,62539,62678,62831,63015,63048,63264,63384,63630,63885,63961
1974,64010,64119,64144,64191,64328,64365,64348,64291,64188,64146,63733,63093
1975,62669,62171,61894,61665,61797,61737,61909,62283,62404,62640,62782,63071
1976,63534,63835,64061,64307,64341,64413,64554,64697,64921,64883,65167,65373
1977,65634,65932,66341,66653,66956,67281,67535,67747,68129,68337,68658,68872
1978,68983,69277,69729,70365,70675,71098,71303,71592,71802,72098,72497,72760
1979,72871,73108,73523,73440,73799,74063,74067,74071,74199,74345,74400,74492
1980,74599,74657,74698,74266,73966,73660,73422,73689,73883,74104,74356,74570
1981,74673,74759,74918,75023,75098,75331,75426,75455,75446,75311,75093,74822
1982,74524,74552,74410,74140,74104,73849,73631,73433,73260,72951,72809,72790
1983,72967,72913,73085,73374,73639,74001,74426,74113,75205,75534,75878,76222
1984,76663,77132,77399,77717,77995,78352,78617,78808,79089,79355,79671,79825
1985,80036,80154,80447,80608,80838,80961,81028,81221,81407,81579,81769,81915
1986,82017,82088,82179,82356,82458,82376,82694,82788,83024,83152,83303,83488
1987,83633,83883,84100,84390,84616,84776,85087,85248,85512,85869,86073,86314
1988,86388,86825,87042,87280,87481,87811,88056,88130,88379,88606,88871,89162
1989,89387,89615,89799,89951,90037,90115,90164,90131,90342,90443,90695,90761
1990,91038,91255,91343,91294,91235,91301,91262,91153,91083,90931,90770,90700
1991,90577,90249,90081,89867,89752,89777,89692,89735,89790,89769,89673,89689
1992,89679,89623,89646,89776,89895,89955,89982,90040,90125,90307,90439,90622
1993,90894,91142,91085,91357,91619,91782,92000,92181,92413,92692,92922,93215
1994,93451,93629,94050,94364,94659,94963,95306,95593,95916,96114,96506,96788
1995,97107,97286,97480,97631,97632,97841,97940,98210,98450,98565,98705,98859
1996,98868,99249,99458,99641,99960,100242,100469,100697,100835,101109,101384,101574
1997,101770,102077,102381,102681,102950,103156,103426,103475,103898,104185,104469,104785
1998,105043,105232,105372,105629,105971,106198,106279,106588,106760,106949,107181,107519
1999,107620,107974,108065,108358,108581,108816,109084,109194,109377,109722,109971,110241
2000,110438,110521,110871,111081,110959,111173,111361,111394,111622,111609,111793,111914
2001,111864,111880,111806,111463,111382,111159,110988,110806,110523,110177,109815,109629
2002,109476,109342,109289,109173,109118,109133,109041,108998,108952,109062,109036,108881
2003,108954,108819,108622,108581,108629,108586,108551,108597,108748,108881,108947,109048
2004,109228,109272,109551,109795,110079,110188,110244,110310,110448,110779,110817,110940
2005,111044,111289,111414,111761,111906,112176,112440,112632,112707,112817,113142,113281
2006,113578,113854,114138,114291,114321,114406,114549,114677,114743,114781,114985,115163
2007,115380,115425,115633,115667,115800,115865,115871,115791,115824,115878,115957,116020
2008,116009,115909,115813,115587,115364,115172,114924,114642,114222,113745,112986,112292
2009,111487,110738,109934,109148,108853,108427,108140,107943,107790,107537,107526,107325
2010,107304,107226,107347,107546,107649,107761,107851,108003,108093,108323,108467,108570
2011,108581,108839,109086,109420,109575,109772,109943,110106,110363,110559,110730,110948
2012,111297,111574,111802,111897,112024,112078,112240,112413,112587,112769,112948,113187
