number,name,party,term start,term end,abnormal term
34,Dwight D. Eisenhower,Republican,1961-01-01,1961-01-20,Y
35,John F. Kennedy,Democratic,1961-01-20,1963-11-22,Y
36,Lyndon B. Johnson,Democratic,1963-11-22,1969-01-20,Y
37,Richard M. Nixon,Republican,1969-01-20,1974-08-09,Y
38,Gerald R. Ford,Republican,1974-08-09,1977-01-20,Y
39,Jimmy Carter,Democratic,1977-01-20,1981-01-20,N
40,Ronald Reagan,Republican,1981-01-20,1989-01-20,N
41,George Bush,Republican,1989-01-20,1993-01-20,N
42,Bill Clinton,Democratic,1993-01-20,2001-01-20,N
43,George W. Bush,Republican,2001-01-20,2009-01-20,N
44,Barack Obama,Democratic,2009-01-20,2012-12-01,Y
